SKU,annual_demand,lead_time_days,unit_cost,holding_cost_pct,ordering_cost,demand_std_dev,description
FST-1042,42000,14,0.42,0.22,85,38,Hex bolt M8x40
FST-2210,28500,21,0.36,0.22,85,26,Flange nut M10
WSH-0308,96000,9,0.06,0.20,60,104,Flat washer 8mm
BRG-5501,8400,35,7.80,0.24,140,11,Ball bearing 6204
SEA-1180,31000,12,0.21,0.18,55,30,O-ring nitrile
CLP-4420,15600,18,1.15,0.22,95,19,Hose clamp 32mm
PLT-9003,2200,42,62.00,0.26,220,5,Steel plate 4mm
MTR-7712,950,56,148.00,0.28,320,3,Gearmotor 24V
CBL-3310,54000,16,0.88,0.20,110,61,Cable 12AWG per metre
CON-2205,19800,24,2.35,0.22,130,24,Connector 4-pin
LUB-0450,6400,11,9.40,0.25,90,9,Bearing grease 400g
SPR-6621,12400,19,0.74,0.21,75,16,Compression spring
VLV-8807,3100,45,34.50,0.26,260,7,Ball valve 1 inch
SNS-1194,1450,63,96.00,0.30,340,4,Proximity sensor
ADH-5520,5200,15,12.20,0.24,80,8,Thread locker 50ml
GSK-3301,7300,20,3.10,0.22,100,12,Gasket 80mm
FAN-6120,1850,38,54.00,0.27,210,5,Axial fan 120mm
